,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
43,202,Jordan Clarkson,25.166666666666668,5.833333333333333,14.066666666666668,0.4163333333333333,2.6,7.833333333333335,0.3363333333333333,1.8333333333333333,2.1333333333333333,0.8526666666666666,1.4666666666666668,1.5999999999999999,0.6999999999999998,2.533333333333333,3.233333333333333,2.1333333333333333,0.7333333333333334,0.16666666666666666,16.133333333333336,2020.0,1
44,206,Josh Giddey,29.4,4.3,10.8,0.403,0.9,3.4,0.254,0.9,1.3,0.679,2.8,1.8,1.5,5.3,6.8,5.8,1.0,0.6,10.4,2021.0,1
45,211,Jrue Holiday,32.9,6.933333333333334,14.833333333333334,0.46866666666666673,1.9000000000000001,5.166666666666667,0.36766666666666664,1.6666666666666667,2.3333333333333335,0.7173333333333334,2.6333333333333333,2.033333333333333,1.0666666666666667,3.633333333333333,4.7,6.333333333333333,1.5,0.6333333333333334,17.433333333333334,2020.0,1
46,225,Keldon Johnson,29.8,5.25,11.1,0.472,1.0,2.7,0.36850000000000005,2.1,3.05,0.688,1.25,1.9,1.2000000000000002,4.949999999999999,6.2,1.85,0.8,0.25,13.600000000000001,2020.5,1
47,227,"Kelly Oubre, Jr.",31.2,6.233333333333333,13.733333333333334,0.4523333333333333,2.1333333333333333,6.033333333333334,0.3539999999999999,2.3000000000000003,3.2000000000000006,0.7056666666666667,1.2333333333333334,2.6999999999999997,1.3,4.133333333333334,5.433333333333334,1.3,1.0999999999999999,0.6,16.866666666666664,2020.0,1
48,228,Kemba Walker,27.8,5.5,12.850000000000001,0.427,2.6500000000000004,6.75,0.397,2.4000000000000004,2.8499999999999996,0.8320000000000001,1.7000000000000002,1.35,0.35,2.8,3.25,3.95,1.0,0.4,16.049999999999997,2020.0,1
49,229,Kendrick Nunn,29.4,5.85,12.7,0.46199999999999997,2.1,5.75,0.3655,1.15,1.3,0.8915,1.5499999999999998,2.0999999999999996,0.35,2.5999999999999996,2.95,2.95,0.8500000000000001,0.2,14.95,2019.5,1
50,234,Kevin Huerter,29.7,4.433333333333334,10.133333333333333,0.4406666666666667,2.033333333333333,5.366666666666667,0.3786666666666667,0.7000000000000001,0.8333333333333334,0.8183333333333334,1.3,2.2333333333333334,0.5,3.1,3.5999999999999996,3.233333333333333,0.7999999999999999,0.3333333333333333,11.6,2020.0,1
51,236,Kevin Love,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.3,3.9,0.854,2.5,1.6,1.0,8.8,9.8,3.2,0.6,0.3,17.6,2019.0,1
52,247,Kyle Kuzma,28.766666666666666,4.833333333333333,11.133333333333333,0.4343333333333333,1.8,5.266666666666667,0.34299999999999997,1.3999999999999997,1.9666666666666668,0.693,1.7333333333333334,2.0,1.1,5.233333333333333,6.333333333333333,1.9999999999999998,0.5333333333333333,0.5666666666666665,12.866666666666667,2020.0,1
